number_xy,number_combination_kNp,k,N,p,group_dates_train_test,number_dates_train_test,rmse_locf_train,rmse_locf_test
001,001,0,7,7,006,001,18.523193451782927,14.329583264063862
001,001,0,7,7,006,002,17.17725155589487,9.779483517668018
001,001,0,7,7,006,003,15.08958063184938,6.639616483069901
001,001,0,7,7,006,004,14.21908495822359,6.352396490811211
001,002,0,7,14,006,001,18.7371047935693,14.329583264063862
001,002,0,7,14,006,002,17.29312130905423,9.779483517668018
001,002,0,7,14,006,003,15.138224917688882,6.639616483069901
001,002,0,7,14,006,004,14.25006838806218,6.352396490811211
001,003,0,7,21,006,001,18.401246760829583,14.329583264063862
001,003,0,7,21,006,002,17.016718317292447,9.779483517668018
001,003,0,7,21,006,003,14.892501485522098,6.639616483069901
001,003,0,7,21,006,004,14.014459079505682,6.352396490811211
001,004,0,7,28,006,001,18.29948539287845,14.329583264063862
001,004,0,7,28,006,002,16.906664192490695,9.779483517668018
001,004,0,7,28,006,003,14.77106439747466,6.639616483069901
001,004,0,7,28,006,004,13.891364994602807,6.352396490811211
001,005,0,7,35,006,001,18.616920894437502,14.329583264063862
001,005,0,7,35,006,002,17.08281536062371,9.779483517668018
001,005,0,7,35,006,003,14.858804181247496,6.639616483069901
001,005,0,7,35,006,004,13.956531897598904,6.352396490811211
001,006,7,7,7,006,001,29.908240082939635,21.322574279693423
001,006,7,7,7,006,002,27.27084312518343,13.5680580254346
001,006,7,7,7,006,003,23.40304337098896,7.821962579273139
001,006,7,7,7,006,004,21.94147384357474,6.619706399872491
001,007,7,7,14,006,001,29.62669702262789,21.322574279693423
001,007,7,7,14,006,002,26.99618293629251,13.5680580254346
001,007,7,7,14,006,003,23.121590352885548,7.821962579273139
001,007,7,7,14,006,004,21.663712878825795,6.619706399872491
001,008,7,7,21,006,001,30.058531857416337,21.322574279693423
001,008,7,7,21,006,002,27.224628411731587,13.5680580254346
001,008,7,7,21,006,003,23.219636412991377,7.821962579273139
001,008,7,7,21,006,004,21.729946575140453,6.619706399872491
001,009,7,7,28,006,001,30.44225302487924,21.322574279693423
001,009,7,7,28,006,002,27.408057444905246,13.5680580254346
001,009,7,7,28,006,003,23.278850579845347,7.821962579273139
001,009,7,7,28,006,004,21.760055146988943,6.619706399872491
001,010,7,7,35,006,001,30.913714078395778,21.322574279693423
001,010,7,7,35,006,002,27.640324742434196,13.5680580254346
001,010,7,7,35,006,003,23.369555529672578,7.821962579273139
001,010,7,7,35,006,004,21.81767717992898,6.619706399872491
001,011,14,7,7,006,001,39.301848482197975,26.193469149521917
001,011,14,7,7,006,002,35.377409016239305,15.954723171818484
001,011,14,7,7,006,003,29.87882890732917,7.645306025618079
001,011,14,7,7,006,004,27.9061114247815,8.915092441440898
001,012,14,7,14,006,001,39.889725294229336,26.193469149521917
001,012,14,7,14,006,002,35.68297226694998,15.954723171818484
001,012,14,7,14,006,003,30.006396624450566,7.645306025618079
001,012,14,7,14,006,004,27.99143337902544,8.915092441440898
001,013,14,7,21,006,001,40.695318826112846,26.193469149521917
001,013,14,7,21,006,002,36.12668123110942,15.954723171818484
001,013,14,7,21,006,003,30.23222033740762,7.645306025618079
001,013,14,7,21,006,004,28.164617025159654,8.915092441440898
001,014,14,7,28,006,001,41.13009316496122,26.193469149521917
001,014,14,7,28,006,002,36.289637079145606,15.954723171818484
001,014,14,7,28,006,003,30.236805352182284,7.645306025618079
001,014,14,7,28,006,004,28.13563019614482,8.915092441440898
001,015,14,7,35,006,001,42.085593533875596,26.193469149521917
001,015,14,7,35,006,002,36.796448639490094,15.954723171818484
001,015,14,7,35,006,003,30.493627749635387,7.645306025618079
001,015,14,7,35,006,004,28.33377296766104,8.915092441440898
001,016,21,7,7,006,001,47.190710846352474,29.8854697862996
001,016,21,7,7,006,002,41.98888741877625,18.43870428210282
001,016,21,7,7,006,003,35.294110591205474,8.955287996407014
001,016,21,7,7,006,004,32.87328862351702,10.461984754337964
001,017,21,7,14,006,001,48.06332628245088,29.8854697862996
001,017,21,7,14,006,002,42.45301007603735,18.43870428210282
001,017,21,7,14,006,003,35.51548414981678,8.955287996407014
001,017,21,7,14,006,004,33.03631072149184,10.461984754337964
001,018,21,7,21,006,001,49.15999082573732,29.8854697862996
001,018,21,7,21,006,002,43.05145045050301,18.43870428210282
001,018,21,7,21,006,003,35.82903704103639,8.955287996407014
001,018,21,7,21,006,004,33.28116226319934,10.461984754337964
001,019,21,7,28,006,001,50.19490182293501,29.8854697862996
001,019,21,7,28,006,002,43.577222937841725,18.43870428210282
001,019,21,7,28,006,003,36.07640041171883,8.955287996407014
001,019,21,7,28,006,004,33.463821572858194,10.461984754337964
001,020,21,7,35,006,001,51.405432772407615,29.8854697862996
001,020,21,7,35,006,002,44.19256022063698,18.43870428210282
001,020,21,7,35,006,003,36.37934196407531,8.955287996407014
001,020,21,7,35,006,004,33.69466272464472,10.461984754337964
001,021,28,7,7,006,001,53.36028966207467,31.98420126304208
001,021,28,7,7,006,002,46.85513019730552,21.020759749008405
001,021,28,7,7,006,003,39.337672048043,11.313708498984761
001,021,28,7,7,006,004,36.682569015340476,13.458839135571575
001,022,28,7,14,006,001,54.57960137181326,31.98420126304208
001,022,28,7,14,006,002,47.51671468308661,21.020759749008405
001,022,28,7,14,006,003,39.685873889678106,11.313708498984761
001,022,28,7,14,006,004,36.95531577782025,13.458839135571575
001,023,28,7,21,006,001,55.862192107383805,31.98420126304208
001,023,28,7,21,006,002,48.18948532332023,21.020759749008405
001,023,28,7,21,006,003,40.029988758429596,11.313708498984761
001,023,28,7,21,006,004,37.22197383700749,13.458839135571575
001,024,28,7,28,006,001,57.20547759320489,31.98420126304208
001,024,28,7,28,006,002,48.86649077542653,21.020759749008405
001,024,28,7,28,006,003,40.36383443671801,11.313708498984761
001,024,28,7,28,006,004,37.47685694369436,13.458839135571575
001,025,28,7,35,006,001,58.36636713467783,31.98420126304208
001,025,28,7,35,006,002,49.37458860588106,21.020759749008405
001,025,28,7,35,006,003,40.557950742376676,11.313708498984761
001,025,28,7,35,006,004,37.603191353926334,13.458839135571575
